iter	Accuracy	Logloss
0	0.8215488215	0.5391877733
1	0.8265993266	0.4552602522
2	0.8265993266	0.4303650387
3	0.8282828283	0.405639765
4	0.82996633	0.3949304183
5	0.8367003367	0.3769909194
6	0.835016835	0.3648403439
7	0.8484848485	0.3517903047
8	0.8653198653	0.3379003786
9	0.8686868687	0.3375134634
10	0.8737373737	0.3298786525
11	0.8737373737	0.3293210438
12	0.867003367	0.3264154288
13	0.8703703704	0.3227500743
14	0.8771043771	0.3168734104
15	0.8754208754	0.309636925
16	0.8838383838	0.305512182
17	0.8939393939	0.2977761298
18	0.8939393939	0.2938985865
19	0.8939393939	0.292290962
20	0.8956228956	0.2916137115
21	0.898989899	0.2858444042
22	0.898989899	0.2816223168
23	0.898989899	0.2771619187
24	0.904040404	0.2710273722
25	0.9057239057	0.2664891498
26	0.9090909091	0.2549290318
27	0.9158249158	0.2530564388
28	0.9158249158	0.2504993878
29	0.9191919192	0.2499396874
30	0.9208754209	0.2464846191
31	0.9225589226	0.2456452563
32	0.9225589226	0.2439686827
33	0.9259259259	0.2384918346
34	0.9276094276	0.2353134184
35	0.9343434343	0.2291653289
36	0.9393939394	0.2225603496
37	0.9393939394	0.218915464
38	0.9461279461	0.2140249036
39	0.9478114478	0.2121812439
40	0.9478114478	0.2055100637
41	0.9511784512	0.2011384656
42	0.9494949495	0.1963487005
43	0.9511784512	0.1958564071
44	0.9545454545	0.1931320446
45	0.9545454545	0.1900938557
46	0.9528619529	0.1893336998
47	0.9545454545	0.1870265184
48	0.9562289562	0.1846947171
49	0.9545454545	0.178866662
50	0.9612794613	0.1743593502
51	0.962962963	0.1708603072
52	0.9612794613	0.1691201109
53	0.9612794613	0.1651778944
54	0.9646464646	0.1618256576
55	0.9646464646	0.1587689863
56	0.9663299663	0.1571609825
57	0.9663299663	0.1548272238
58	0.962962963	0.152307516
59	0.962962963	0.1509211106
60	0.962962963	0.1475996097
61	0.9646464646	0.1469358963
62	0.9646464646	0.1466786585
63	0.9646464646	0.1450158373
64	0.968013468	0.142155377
65	0.968013468	0.1404962574
66	0.968013468	0.1396960921
67	0.968013468	0.1376033829
68	0.9663299663	0.1349930949
69	0.968013468	0.1331158628
70	0.968013468	0.1314800099
71	0.9696969697	0.1273485171
72	0.9713804714	0.1261769859
73	0.9747474747	0.124165494
74	0.9764309764	0.1220189229
75	0.9747474747	0.1201142795
76	0.9747474747	0.1196198968
77	0.9764309764	0.1190248143
78	0.9764309764	0.1167647718
79	0.9747474747	0.1152851925
80	0.9747474747	0.113503266
81	0.9764309764	0.1090322753
82	0.9781144781	0.1075157397
83	0.9814814815	0.1057147653
84	0.9797979798	0.1047950727
85	0.9814814815	0.1031160384
86	0.9814814815	0.1027337265
87	0.9797979798	0.1011572508
88	0.9797979798	0.1004307884
89	0.9797979798	0.0990097592
90	0.9797979798	0.09823525789
91	0.9814814815	0.09605389962
92	0.9848484848	0.09486390603
93	0.9831649832	0.0939945126
94	0.9848484848	0.0930782247
95	0.9865319865	0.09163059468
96	0.9882154882	0.08927087539
97	0.9882154882	0.08833310085
98	0.9898989899	0.08548910445
99	0.9898989899	0.08453604032
100	0.9932659933	0.08297849921
101	0.9932659933	0.08204515328
102	0.9932659933	0.08149093808
103	0.9932659933	0.08076093887
104	0.9915824916	0.08015278438
105	0.9915824916	0.07827828397
106	0.9915824916	0.07773291986
107	0.9915824916	0.07729351786
108	0.9915824916	0.07563685456
109	0.9932659933	0.07478041159
110	0.9932659933	0.07402829766
111	0.9932659933	0.07321500769
112	0.9932659933	0.07262151683
113	0.9932659933	0.07138319481
114	0.9932659933	0.07013057153
115	0.9932659933	0.06890784185
116	0.9932659933	0.06865018219
117	0.9932659933	0.06741097771
118	0.9932659933	0.06682764982
119	0.9932659933	0.06613714178
120	0.9932659933	0.06522301912
121	0.9898989899	0.06452907215
122	0.9915824916	0.06328884638
123	0.9915824916	0.06236653837
124	0.9915824916	0.06224090313
125	0.9932659933	0.06071837924
126	0.9949494949	0.05939162653
127	0.9949494949	0.05913810829
128	0.9949494949	0.05883217905
129	0.9949494949	0.05866737644
130	0.9949494949	0.05806919236
131	0.9949494949	0.05707292279
132	0.9949494949	0.05702458176
133	0.9949494949	0.05615285345
134	0.9949494949	0.05431130592
135	0.9949494949	0.05406716902
136	0.9949494949	0.05317711847
137	0.9949494949	0.05310994191
138	0.9949494949	0.05254209368
139	0.9949494949	0.05180124225
140	0.9949494949	0.05118573987
141	0.9949494949	0.05014709645
142	0.9949494949	0.04990844479
143	0.9949494949	0.04947466435
144	0.9949494949	0.04910928655
145	0.9949494949	0.04894928866
146	0.9949494949	0.04831509272
147	0.9949494949	0.04817642874
148	0.9949494949	0.04752256385
149	0.9949494949	0.04652347954
150	0.9949494949	0.04624779275
151	0.9949494949	0.04581157444
152	0.9966329966	0.04524736977
153	0.9966329966	0.04491124354
154	0.9966329966	0.04476811917
155	0.9966329966	0.04434476574
156	0.9966329966	0.04355204795
157	0.9966329966	0.04321221513
158	0.9983164983	0.04307341259
159	0.9983164983	0.0422814034
160	0.9966329966	0.04195759262
161	0.9966329966	0.04173231842
162	0.9966329966	0.04140294254
163	0.9966329966	0.04122297176
164	0.9983164983	0.0407464388
165	1	0.04001920626
166	0.9983164983	0.03968246588
167	1	0.03951631
168	0.9983164983	0.03908087638
169	0.9983164983	0.03827392886
170	0.9983164983	0.03769121435
171	1	0.03722097598
172	0.9983164983	0.03647656417
173	0.9983164983	0.03591972011
174	1	0.03555058813
175	1	0.03542687332
176	1	0.03513757418
177	1	0.03495239202
178	1	0.03465548932
179	1	0.03445310628
180	1	0.03369297009
181	1	0.03358025984
182	1	0.03333005302
183	1	0.03312886139
184	1	0.03255253705
185	1	0.03199131638
186	1	0.03163966115
187	1	0.03157803655
188	1	0.03139291171
189	1	0.03122592899
190	1	0.03099886171
191	1	0.03080427319
192	1	0.03060987464
193	1	0.03039304592
194	1	0.02965928134
195	1	0.02928230045
196	1	0.02884820795
197	1	0.02864817468
198	1	0.02857895258
199	1	0.02854783878
200	1	0.02836379159
201	1	0.02833133737
202	1	0.028041662
