iter	Passed	Remaining
0	2	1301
1	5	1287
2	7	1173
3	9	1121
4	10	1028
5	12	1059
6	15	1063
7	16	1042
8	20	1103
9	22	1093
10	24	1086
11	26	1074
12	28	1069
13	30	1062
14	32	1035
15	44	1352
16	49	1404
17	60	1628
18	65	1651
19	95	2291
20	106	2419
21	111	2416
22	122	2550
23	131	2608
24	140	2670
25	148	2705
26	153	2694
27	158	2677
28	164	2664
29	168	2643
30	173	2630
31	179	2622
32	184	2605
33	188	2588
34	194	2581
35	199	2565
36	204	2559
37	209	2543
38	215	2543
39	220	2539
40	226	2536
41	231	2520
42	236	2512
43	241	2507
44	246	2489
45	249	2463
46	252	2436
47	255	2405
48	260	2400
49	264	2377
50	268	2360
51	271	2340
52	274	2311
53	276	2282
54	278	2253
55	280	2227
56	283	2200
57	285	2172
58	287	2146
59	289	2122
60	291	2101
61	294	2077
62	295	2052
63	298	2030
64	300	2009
65	302	1986
66	304	1968
67	306	1948
68	309	1932
69	311	1912
70	313	1895
71	315	1876
72	317	1856
73	319	1841
74	322	1826
75	324	1811
76	326	1794
77	329	1782
78	331	1766
79	333	1753
80	335	1738
81	338	1723
82	340	1708
83	342	1694
84	343	1679
85	346	1665
86	348	1655
87	351	1645
88	353	1632
89	355	1619
90	357	1607
91	360	1598
92	362	1585
93	364	1574
94	366	1564
95	369	1553
96	371	1543
97	373	1532
98	375	1521
99	378	1514
100	381	1505
101	382	1493
102	385	1484
103	387	1474
104	389	1464
105	391	1456
106	393	1446
107	396	1438
108	398	1430
109	400	1421
110	403	1413
111	405	1404
112	407	1395
113	409	1386
114	412	1382
115	415	1376
116	418	1368
117	420	1360
118	422	1352
119	424	1344
120	428	1340
121	430	1334
122	432	1326
123	435	1319
124	437	1311
125	439	1304
126	441	1296
127	443	1289
128	445	1281
129	447	1274
130	449	1266
131	451	1258
132	453	1252
133	456	1245
134	458	1239
135	460	1232
136	462	1224
137	463	1217
138	466	1210
139	468	1204
140	469	1196
141	471	1189
142	474	1184
143	476	1179
144	479	1173
145	481	1167
146	483	1161
147	486	1155
148	488	1150
149	490	1144
150	492	1137
151	494	1132
152	500	1134
153	503	1131
154	505	1125
155	508	1121
156	510	1115
157	512	1109
158	514	1103
159	516	1098
160	518	1092
161	521	1087
162	523	1082
163	527	1080
164	530	1077
165	532	1071
166	534	1066
167	537	1061
168	539	1056
169	541	1051
170	544	1047
171	546	1041
172	548	1037
173	551	1033
174	553	1028
175	555	1023
176	557	1018
177	561	1015
178	563	1011
179	567	1008
180	569	1004
181	571	999
182	575	996
183	577	991
184	579	986
185	581	982
186	584	978
187	586	973
188	588	968
189	591	964
190	593	959
191	595	954
192	598	951
193	600	947
194	602	941
195	605	939
196	607	934
197	609	930
198	611	925
199	613	920
200	616	916
201	619	913
202	621	908
203	623	904
204	625	900
205	627	895
206	629	891
207	632	887
208	634	883
209	637	880
210	639	876
211	642	872
212	645	870
213	648	866
214	651	863
215	653	859
216	655	855
217	658	851
218	660	847
219	662	843
220	666	841
221	668	837
222	670	832
223	672	828
224	675	825
225	677	820
226	679	816
227	681	813
228	683	809
229	686	805
230	688	802
231	691	798
232	693	794
233	695	790
234	697	787
235	700	783
236	702	779
237	706	777
238	708	773
239	710	769
240	713	766
241	715	762
242	718	759
243	720	755
244	722	752
245	724	748
246	727	744
247	729	740
248	732	738
249	735	735
250	738	732
251	741	729
252	743	725
253	745	722
254	748	719
255	750	715
256	752	711
257	755	708
258	758	706
259	761	703
260	763	699
261	766	696
262	769	693
263	771	689
264	774	686
265	776	683
266	779	679
267	781	676
268	783	673
269	785	669
270	787	665
271	789	662
272	792	659
273	796	656
274	798	652
275	801	650
276	803	646
277	805	643
278	807	639
279	809	635
280	812	633
281	814	629
282	816	626
283	818	622
284	820	619
285	823	616
286	825	612
287	827	609
288	829	605
289	831	602
290	833	598
291	836	595
292	838	592
293	840	588
294	843	585
295	844	582
296	846	578
297	848	575
298	850	572
299	853	568
300	855	565
301	857	562
302	859	558
303	861	555
304	863	551
305	865	548
306	867	545
307	869	542
308	871	538
309	874	535
310	876	532
311	878	529
312	880	526
313	883	523
314	885	519
315	887	516
316	890	514
317	892	511
318	895	507
319	897	504
320	899	501
321	901	498
322	903	495
323	906	492
324	908	489
325	910	486
326	912	482
327	914	479
328	917	476
329	919	473
330	921	470
331	923	467
332	925	464
333	927	461
334	929	458
335	931	454
336	933	451
337	937	449
338	939	446
339	940	442
340	942	439
341	944	436
342	946	433
343	948	430
344	951	427
345	953	424
346	955	421
347	957	418
348	959	415
349	961	412
350	963	409
351	965	406
352	968	403
353	970	400
354	972	397
355	974	394
356	976	391
357	978	388
358	981	385
359	983	382
360	985	379
361	987	376
362	989	373
363	991	370
364	993	367
365	995	364
366	997	361
367	1000	358
368	1002	355
369	1004	352
370	1006	349
371	1008	346
372	1010	344
373	1012	341
374	1015	338
375	1018	335
376	1020	332
377	1022	329
378	1024	327
379	1026	324
380	1028	321
381	1030	318
382	1032	315
383	1034	312
384	1036	309
385	1038	306
386	1040	303
387	1042	300
388	1044	298
389	1047	295
390	1051	293
391	1053	290
392	1055	287
393	1057	284
394	1059	281
395	1061	278
396	1064	276
397	1066	273
398	1069	270
399	1071	267
400	1073	265
401	1075	262
402	1077	259
403	1080	256
404	1082	253
405	1084	251
406	1086	248
407	1088	245
408	1091	242
409	1093	240
410	1095	237
411	1097	234
412	1099	231
413	1101	228
414	1103	226
415	1106	223
416	1108	220
417	1110	217
418	1112	215
419	1114	212
420	1116	209
421	1118	206
422	1120	204
423	1123	201
424	1125	198
425	1128	196
426	1130	193
427	1133	190
428	1135	187
429	1137	185
430	1139	182
431	1142	179
432	1144	177
433	1146	174
434	1148	171
435	1150	168
436	1152	166
